uf,numeroZE,numeroLocalVotacao,nome,endereco,quantidadeSecoes,latitude,longitude
DF,10,1090,CENTRO DE ENSINO MÉDIO URSO BRANCO,3  AVENIDA AREA ESPECIAL 04 - NÚCLEO BANDEIRANTE,13,-15.8722555,-47.9691052
DF,10,1104,ESCOLA CLASSE N 3,3 AVENIDA AE 06 LOTES H/N,7,-15.8742001,-47.9739772
DF,10,1120,CENTRO EDUCACIONAL DA CANDANGOLANDIA,SPMS QR 1 CONJUNTO G LOTE 59 - CANDANGOLANDIA,12,-15.8540878,-47.9546559
DF,10,1139,ESCOLA CLASSE 02 DA CANDANGOLÂNDIA,EQ 02/03  AE - CANDANGOLÂNDIA,9,-15.8524813,-47.9517566
DF,10,1147,CENTRO DE ENSINO FUNDAMENTAL METROPOLITANA,RUA 01 LOTE 06 METROPOLITANA,9,-15.8815853,-47.9748989
DF,10,1155,CENTRO EDUCACIONAL  VARGEM BONITA,NUCLEO HABIT. SUL-AE 01 LOT F-PROX  Q17  PARK WAY VARGEM BONITA 71750,16,-15.9344729,-47.940947
DF,10,1163,ESCOLA CLASSE AGROVILA II,EPCT DF 001 - SENTIDO GAMA/TAGUAT-CAUB II -,4,-15.9393935,-48.0348171
DF,10,1171,CENTRO DE ENSINO MÉDIO 1 DO RIACHO FUNDO I,QUADRA 14 LOTE A,15,-15.8883177,-48.0140958
DF,10,1198,CENTRO DE ENSINO TELEBRASILIA,QN 01 LOTE 01/02 - RIACHO FUNDO I,17,-15.8795278,-48.0058575
DF,10,1201,ESCOLA CLASSE 1 CANDANGOLANDIA,"EQ 05/07, AREA ESPECIAL -CANDANGOLÂNDIA",9,-15.8480242,-47.9513701
DF,10,1210,CENTRO EDUCACIONAL 02  RIACHO FUNDO I,QN 07 AE 1/2,14,-15.8834309,-48.0195577
DF,10,1228,CENTRO EDUCACIONAL INFANTIL DA CANDANGOLANDIA,"QR 1-A, PRAÇA DO BOSQUE",8,-15.8560694,-47.9519622
DF,10,1236,CENTRO DE ENSINO FUNDAMENTAL 01 DO RIACHO FUNDO II,QN 07 LOTE D AREA ESPECIAL 1/2 - RIACHO FUNDO II,11,-15.9019614,-48.0481209
